0,0011680591259640057 -1,3877787807814457e-17
0,002085014400647428 0,0010009645061728537
0,002648566183471389 0,001947241512345689
0,0033564740431305355 0,0031264467592592576
0,004216369727696848 0,004156057098765431
0,004931113431876608 0,005183159722222233
0,005625974423974105 0,006193190586419754
0,006407678163381891 0,007389467592592604
0,007192788667523563 0,008629918981481487
0,008445938809149765 0,009818913966049378
0,008779158335713605 0,010838734567901229
0,00946248244549176 0,011699170524691355
0,009845453382366937 0,012665027006172842
0,01023485105446063 0,013714216820987668
0,010620473763448535 0,01471445794753086
0,010861137889174515 0,015714699074074058
0,011269669479355104 0,016771251286008218
0,0122728203648164 0,017778774434156375
0,01310934227125583 0,01897752700617284
0,013555810690993052 0,02005377121913579
0,014947901789964777 0,02092399691358024
0,017490359897172233 0,021645833333333336
0,020968986539560124 0,021576099537037027
0,02383266983242883 0,020588155864197523
0,025648750654574882 0,01942370756172839
0,02745538972991844 0,018374485596707818
0,028941649112158425 0,020232735339506154
0,029196676693563742 0,02141922260802468
0,02977364354232125 0,022539448302469144
0,030585361027801582 0,023657310956790134
0,03115878846123329 0,024740901491769544
0,0318502426885969 0,025706757973251032
0,032544723085070934 0,0267118537808642
0,03293586505046177 0,02754292052469135
0,033524957650988604 0,028354327417695474
0,03385247816100162 0,02930796682098765
0,03453750565314671 0,030190489969135797
0,03522253314529182 0,031073013117283946
0,03562010184590117 0,03198741319444444
0,03615865457091624 0,03285027649176955
0,037387982153908414 0,033730372299382715
0,039738880409168814 0,03455164930555554
0,04401102661144436 0,03512770061728395
0,048117955881652866 0,03447810570987653
0,05127912486313434 0,03358830054012343
0,053430287279031374 0,032534175668724255
0,05494801336522899 0,034318962191357966
0,0559802779562982 0,03570399305555551
0,056379315731219654 0,036878182870370334
0,057096476899457294 0,03817737268518517
0,05783561095639342 0,03952073688271604
0,05886828465676475 0,040670331790123464
0,060172696193944594 0,04182494212962962
0,062432320924180384 0,04288400205761316
0,06685288578263353 0,04372251157407407
0,07226939996310579 0,04335479359567901
0,07669845569916532 0,04218303112139917
0,08031823992748104 0,04087882587448559
0,08167320497714939 0,04220746527777777
0,0828576507902504 0,04344540895061728
0,08423312089403028 0,044808449074074067
0,08564101476958964 0,04611506558641974
0,08734003826287728 0,047205922067901224
0,08975638656812339 0,048176793981481475
0,09369438344996668 0,04863763503086419
0,09844741532181281 0,04766676311728394
0,10224868787489289 0,046595486111111105
0,10523457583547559 0,04539583333333333
0,10797402379082167 0,044352527006172836
0,1096234483599924 0,04574006558641974
0,11035313571122536 0,046960937499999994
0,11137556680234219 0,04821846064814814
0,11208308786775205 0,049392650462962956
0,11436202751594783 0,05046141975308641
0,11967642925434012 0,05113075488683127
0,12322257628772733 0,050510609567901224
0,1256279009568695 0,049458912037037034
0,12819278197300768 0,048355758101851845
0,13026974063957927 0,04728698881172839
0,1328579111325335 0,046245081018518513
0,13516991920959096 0,047517328960905346
0,13599614395886883 0,048576388888888884
0,13668684319361132 0,04953245563271604
0,13801628850090442 0,05053018904320987
