0,0011284741573773377 -0,000026160979415885965
0,0017543216717494092 0,0008170010480910775
0,0023045574721999307 0,0016811926587112155
0,00296644264086883 0,002545352994998522
0,003155652354516203 0,003512887029892657
0,0037114694205186843 0,004446704928273523
0,004278064102759438 0,005514973589226868
0,004743209660721628 0,0067105215676620394
0,005426842519299882 0,007845984335568788
0,005496127195117342 0,008924596380677587
0,005947560160990656 0,009949079772804001
0,006500682822933562 0,01084928498054175
0,0071708436612139825 0,011816684295232905
0,007726596574738842 0,01274970189145561
0,007790749052347626 0,013550004049625149
0,008450950218479289 0,014393156454260477
0,009011530605944229 0,015386396787885427
0,00992598407895888 0,0164013467208862
0,011051964308769063 0,017269378659197164
0,0131009383101756 0,018080329326743798
0,015830634251488923 0,018811857623198817
0,019269944804812075 0,018431542490190685
0,019718996109954146 0,017819171807552193
0,021087175999916635 0,017101501649119652
0,021842771900252522 0,01627756050581022
0,02248116924305689 0,01531299592872339
0,024294262603355654 0,014145621312736108
0,025867072858770712 0,012980714963324813
0,02768536256975579 0,011878164822149276
0,02938950096589575 0,010744434171137952
0,030789845304319274 0,00967801550725763
0,032570581758724154 0,00864270277595789
0,03365960214237196 0,007656803490536303
0,03513259916168747 0,006639584163640133
0,03668191758170822 0,005663760024827005
0,039582467609013114 0,004669550186884197
0,04155086208901318 0,006135985610599283
0,04235134066649611 0,007336241578984937
0,04292062975279644 0,008438122930581403
0,043714227977055875 0,009338260778217665
0,04402687507668228 0,010238533346056906
0,04410443542211129 0,011206098655283873
0,044427860137975964 0,01224082198569559
0,04486004736056659 0,013239500444656858
0,04529762339127637 0,014305404284904365
0,04562104810714104 0,015340127615316078
0,04593369520676743 0,01624040018315532
0,04624634230639384 0,01714067275099456
0,04727526785664164 0,018190804704621942
0,04756679275301531 0,01904186350116957
0,04835230776509604 0,01984116327687648
0,049397159167910265 0,020875684526983726
0,049968060085210514 0,021676244898875645
0,052397378088240104 0,0225177012723842
0,05537168742667574 0,023086495983653945
0,05825397805504122 0,022614500143942118
0,06081318076804949 0,0217548397030061
0,06252665334968156 0,020737553016008443
0,06339795626244459 0,019821342567013265
0,06463586652756269 0,018871415981504824
0,06552145940471306 0,017919187123956216
0,0659163820568728 0,017060132923933605
0,06650988469394052 0,01616050689278273
0,06748236007342247 0,015167137251820128
0,06807479216602018 0,014200584749833395
0,06847818294522419 0,013232884720403452
0,06889297682732314 0,01240743839958814
0,06940739148808887 0,011431904149783203
0,07068308355298873 0,010256876945123162
0,07194948954675483 0,009180291717353808
0,07367494260358017 0,008098175744108586
0,07547874989274515 0,00702924310501199
0,07722599875383808 0,006219029790004889
0,0794206630318942 0,005418895230183095
0,08256977183369431 0,004525456104068147
0,08371549498848861 0,005425495317270088
0,08439744384452962 0,006325664439239181
0,08481904590831484 0,00719229304210247
0,08486614986499917 0,007994200616024155
0,08540855906318139 0,008760755363347597
0,0857184476062706 0,009626614938385552
