Displacement of the free end of a submaximally-activated cat soleus muscle
relative to its initial position, with a maximum amplitude of 8.0 mm.
Experimental data was provided by T.G. Sandercock [1]. Please refer to Millard
et al. [2] for details.

References:
    1. Perreault, E.J., Heckman, C.J., and Sandercock, T.G., 2003. "Hill
       muscle model errors during movement are greatest within the
       physiologically relevant range of motor unit firing rates". Journal
       of Biomechanics, 36(2), pp. 211--218.
       http://dx.doi.org/10.1016/S0021-9290(02)00332-9.
    2. Millard, M., Uchida, T., Seth, A., and Delp, S.L., 2013. "Flexing
       computational muscle: Modeling and simulation of musculotendon
       dynamics". ASME Journal of Biomechanical Engineering, 135(2),
       p. 021013 (11 pages). http://dx.doi.org/10.1115/1.4023390.

endheader
time_s	displacement_mm
0.000000000000000	-8.075615042156001
0.001000000000000	-8.075597472664335
0.002000000000000	-8.075668944514499
0.003000000000000	-8.075937726453001
0.004000000000000	-8.076515590660000
0.005000000000000	-8.077403608356667
0.006000000000000	-8.078276240201499
0.007000000000000	-8.078230728103835
0.008000000000000	-8.075633236714667
0.009000000000000	-8.068303431415332
0.010000000000000	-8.054228019609669
0.011000000000000	-8.032552047330499
0.012000000000000	-8.004191795976333
0.013000000000000	-7.971611130723833
0.014000000000000	-7.937916837988335
0.015000000000000	-7.905801922293168
0.016000000000000	-7.876814609099834
0.017000000000000	-7.851203196566668
0.018000000000000	-7.828318062590999
0.019000000000000	-7.807275396217499
0.020000000000000	-7.787471913674168
0.021000000000000	-7.768731051293000
0.022000000000000	-7.751162848432000
0.023000000000000	-7.734964699893166
0.024000000000000	-7.720309684459999
0.025000000000000	-7.707314032496499
0.026000000000000	-7.696036540033167
0.027000000000000	-7.686476695534167
0.028000000000000	-7.678559717188667
0.029000000000000	-7.672157461372166
0.030000000000000	-7.667159482536333
0.031000000000000	-7.663501633920833
0.032000000000000	-7.661101646552166
0.033000000000000	-7.659788014156000
0.034000000000000	-7.659342737020666
0.035000000000000	-7.659663556634668
0.036000000000000	-7.660887741224333
0.037000000000000	-7.663351758406001
0.038000000000000	-7.667453642267501
0.039000000000000	-7.673524058174833
0.040000000000000	-7.681734792618999
0.041000000000000	-7.692075665894166
0.042000000000000	-7.704412042235166
0.043000000000000	-7.718555169660000
0.044000000000000	-7.734302936664499
0.045000000000000	-7.751465427667333
0.046000000000000	-7.769880385961833
0.047000000000000	-7.789434796073334
0.048000000000000	-7.810079704863668
0.049000000000000	-7.831793931243833
0.050000000000000	-7.854540556970668
0.051000000000000	-7.878271636878668
0.052000000000000	-7.902936406602834
0.053000000000000	-7.928467383915500
0.054000000000000	-7.954778618908001
0.055000000000000	-7.981786735056833
0.056000000000000	-8.009442993907499
0.057000000000000	-8.037753714642001
0.058000000000000	-8.066776995584167
0.059000000000000	-8.096618197570335
0.060000000000000	-8.127403616336165
0.061000000000000	-8.159200429537668
0.062000000000000	-8.191958080907833
0.063000000000000	-8.225544042951499
0.064000000000000	-8.259830210508168
0.065000000000000	-8.294754214644167
0.066000000000000	-8.330317670316166
