Force (and its time derivative) produced by a submaximally-activated cat soleus
muscle in vivo when held at a fixed length and excited using a random
frequency stimulation signal of 20 Hz. Experimental data provided by T.G.
Sandercock [1] was filtered using a Butterworth low-pass filter of cut-off
frequency 120 Hz. Please refer to Millard et al. [2] for details.

References:
    1. Perreault, E.J., Heckman, C.J., and Sandercock, T.G., 2003. "Hill
       muscle model errors during movement are greatest within the
       physiologically relevant range of motor unit firing rates". Journal
       of Biomechanics, 36(2), pp. 211--218.
       http://dx.doi.org/10.1016/S0021-9290(02)00332-9.
    2. Millard, M., Uchida, T., Seth, A., and Delp, S.L., 2013. "Flexing
       computational muscle: Modeling and simulation of musculotendon
       dynamics". ASME Journal of Biomechanical Engineering, 135(2),
       p. 021013 (11 pages). http://dx.doi.org/10.1115/1.4023390.

endheader
time_s	force_N	forcedot
0.390000000000000	6.038455939164000	27.020583092256999
0.391000000000000	6.065881824794000	26.842815596645998
0.392000000000000	6.091291017676000	26.522406164094999
0.393000000000000	6.115764349745000	26.028722613835999
0.394000000000000	6.140787349650000	24.958991247814001
0.395000000000000	6.166234517436000	22.632135092241999
0.396000000000000	6.190058467787000	18.508358732887999
0.397000000000000	6.208816220754000	12.659059495460999
0.398000000000000	6.219172223042000	5.950902677438000
0.399000000000000	6.220291961509000	-0.222548654166000
0.400000000000000	6.214274396548000	-4.540039756356000
0.401000000000000	6.204946561647000	-6.352237084332000
0.402000000000000	6.196569284678000	-5.957617763124000
0.403000000000000	6.191721527859000	-4.419901594008000
0.404000000000000	6.190204264047000	-3.045828980895000
0.405000000000000	6.190078224800000	-2.816805996912000
0.406000000000000	6.188646965904000	-4.059265370951000
0.407000000000000	6.183682526698000	-6.473964317146000
0.408000000000000	6.175004653223000	-9.430796391680000
0.409000000000000	6.163436487776000	-12.301543471424999
0.410000000000000	6.148984322391000	-14.665992213398001
0.411000000000000	6.132205582398000	-16.392000619752999
0.412000000000000	6.115085831647000	-17.611746789531999
0.413000000000000	6.098374276575000	-18.551751313364001
0.414000000000000	6.080435012626000	-19.290743508578998
0.415000000000000	6.060014374341000	-19.694566086894000
0.416000000000000	6.038315781378000	-19.646252323906001
